X,Y,OBJECTID,Join_Count,TARGET_FID,Join_Count_1,Incident_No,Time_Begun,UCR_No,HPD_Beat,HPD_District,Offense,Address_Range,Premise_Type,X_Coord,Y_Coord,Zip_Code,Time_Frame,SNB_No,SNB_Name,Council_District,HPD_Division
-95.415763497412911,29.771893184310958,6455,1,6455,1,109214418,2018-08-27T16:28:00.000Z,6161,2A50,2,Theft,5300-5399 NETT,"Vacant Storage Fac (Barn,",3105397.01654,13845626.67946,77007,3,22,WASHINGTON AVENUE COALITION / MEMORIAL PARK,C,Central Division
-95.354561875224988,29.750713498845602,6456,1,6456,1,108124618,2018-08-25T00:05:00.000Z,6191,10H30,10,Theft,2200-2299 MCKINNEY,"Road, Street, or Sidewalk",3125043.53165,13838528.76244,77003,3,61,DOWNTOWN,I,South Central Division
-95.590737438320758,29.730811418389191,6457,1,6457,1,107941618,2018-08-19T16:30:00.000Z,6191,20G30,20,Theft,12000-12099 RICHMOND,Apartment,3050348.06505,13829034.84345,77082,3,19,WESTCHASE,F,Westside Division
-95.535648088845122,29.737232028150672,6458,1,6458,1,107966918,2018-08-24T18:00:00.000Z,6143,18F50,18,Theft,9600-9699 WESTHEIMER,Other Parking Lot,3067755.091,13831882.27853,77063,3,20,MID WEST,G,Midwest Division
-95.54830970181392,29.737070635098235,6459,1,6459,1,107913118,2018-08-24T07:00:00.000Z,6193,20G10,20,Theft,9900-9999 WESTHEIMER,Hotel or Motel Parking Lo,3063740.41159,13831704.82382,77042,3,19,WESTCHASE,G,Westside Division
-95.36388532274465,29.780767254112003,6460,1,6460,1,107789618,2018-08-22T14:10:00.000Z,6193,2A10,2,Theft,500-599 QUITMAN,"Road, Street, or Sidewalk",3121746.82989,13849360.02244,77009,3,51,NEAR NORTHSIDE,H,Central Division
-95.382044567985062,29.709833438858428,6461,1,6461,1,112707018,2018-08-20T19:00:00.000Z,6061,10H70,10,Theft,000-099 HERMANN PARK,Apartment Parking Lot,3116787.0402,13823399.80761,77021,3,83,MACGREGOR,D,South Central Division
-95.5009021413982,29.739175863744631,6462,1,6462,1,115780418,2018-09-11T08:20:00.000Z,5031,18F40,18,Burglary,2500-2599 S VOSS,Apartment,3078755.69909,13832917.02893,77057,2,21,GREATER UPTOWN,G,Midwest Division
-95.386075480061763,29.938405230369323,6463,1,6463,1,107746818,2018-08-24T08:52:00.000Z,6193,22B30,22,Theft,700-799 N SAM HOUSTON PKWY E,"Hotel, Motel, Inn, Etc.",3112940.04788,13906438.94948,77060,3,2,GREATER GREENSPOINT,B,North Belt Division
-95.596042354566833,29.689089969441365,6464,1,6464,1,107701618,2018-08-24T05:44:00.000Z,6191,19G30,19,Theft,12300-12399 BEECHNUT,Residence or House,3049106.66442,13813821.04889,77072,3,25,ALIEF,F,Westside Division
-95.451178891894756,29.748299914311843,6465,1,6465,1,107350318,2018-08-22T07:35:00.000Z,6191,1A50,1,Theft,1900-1999 BRIAR OAKS,Hotel or Motel Parking Lo,3094427.26508,13836708.70536,77027,3,23,AFTON OAKS / RIVER OAKS AREA,G,Central Division
-95.506088212829766,29.862781964716834,6466,1,6466,1,107331118,2018-08-23T01:00:00.000Z,6191,5F30,5,Theft,7000-7099 HOLLISTER,Apartment,3075768.03903,13877795.85564,77040,3,4,FAIRBANKS / NORTHWEST CROSSING,A,Northwest Division
-95.508753113106792,29.686407875028259,6467,1,6467,1,107156018,2018-08-22T20:20:00.000Z,2004,17E20,17,Rape,8700-8799 FONDREN,Apartment,3076838.07164,13813663.07238,77074,3,30,BRAEBURN,J,South Gessner Division
-95.395740256724494,29.706233124079453,6468,1,6468,1,107195618,2018-08-22T22:36:00.000Z,6033,10H70,10,Theft,1600-1699 HOLCOMBE,Miscellaneous Business (N,3112481.95452,13821957.02949,,3,33,MEDICAL CENTER AREA,D,South Central Division
-95.503165407507908,29.64148535595492,6469,1,6469,1,107309418,2018-08-22T22:00:00.000Z,6141,17E40,17,Theft,12500-12599 SANDPIPER,Apartment Parking Lot,3079099.76724,13797388.37223,77035,3,36,BRAYS OAKS,K,South Gessner Division
-95.337517114930961,29.782883708502034,6470,1,6470,1,107318018,2018-08-23T08:58:00.000Z,3041,7C20,7,Robbery,2300-2399 BREWSTER,Residence or House,3130083.05138,13850390.22488,77026,3,55,GREATER FIFTH WARD,B,Northeast Division
-95.331417318238891,29.870785045251385,6471,1,6471,1,112288618,2018-09-03T19:00:00.000Z,7031,7C40,7,Auto Theft,3800-3899 LITTLE YORK,Grocery Store or Supermar,3131014.4871,13882399.78921,77093,3,46,EASTEX - JENSEN AREA,,Northeast Division
